label,tag_psb,token_t,subroots,gender,occupation,level_edu
100000,"{""手机壳"":""0.18510178"",""iPhone"":""0.18549353"",""爱护手机"":""0.18573008""}","{""^!手机"":""1"",""全包"":""1"",""潮牌"":""1"",""IPHONE"":""1"",""保护套"":""1"",""PLUS"":""1"",""手机壳"":""1"",""硬壳"":""1"",""苹果"":""1""}",NULL,女性,NULL,高中
60000,"{""个子不高"":""0.1182706096485268"",""休闲风"":""0.1182845274145947"",""价格敏感"":""0.11709057486065745"",""初为人父母"":""0.07891432585041931"",""精致生活"":""0.09413211984738991"",""家有宝贝"":""0.11816822170585294""}","{""儿童"":""1"",""女童"":""1"",""宝宝"":""2"",""^!运动装"":""2"",""单鞋"":""1"",""无糖"":""1"",""罐装"":""1"",""瑞士"":""1"",""1"":null,""男童"":""2"",""童鞋"":""1"",""防滑"":""1"",""^!防（安全）"":""1"",""运动鞋"":""2"",""速溶"":""1"",""原装"":""1"",""婴儿"":""1"",""进口"":""1"",""真皮"":""1"",""咖啡"":""1"",""冷冻"":""1""}","[""学步鞋_婴儿步前鞋"",""速溶咖啡_咖啡豆_粉"",""早教_智能玩具""]",女性,公职,高中
100000,"{""旅行达人"":""0.25406703"",""家居生活"":""0.21108729"",""爱读书"":""0.2063218""}","{""行李箱"":""2"",""衣物"":""2"",""青年"":""2"",""收纳包"":""2"",""文艺"":""2"",""旅行"":""2"",""整理"":""2"",""收纳"":""2""}",NULL,男性,NULL,初中
100000,"{""崇尚自然"":""0.17525666760055195"",""工业采购"":""0.18032130578772407"",""茶叶控"":""0.07750377040428734"",""爱种植"":""0.17367430470841888""}","{""营养"":""1"",""家用"":""1"",""牛皮"":""2"",""压力"":""1"",""皮带"":""2"",""腰带"":""2"",""花盆"":""1"",""^!水壶"":""1"",""喷雾器"":""1"",""喷壶"":""1"",""水壶"":""1"",""打孔"":""2"",""迷你"":""1"",""浇花"":""1"",""真皮"":""2"",""花卉"":""1"",""园艺"":""1"",""种植"":""1"",""多肉"":""1"",""喷雾瓶"":""1"",""桌面"":""1"",""盆栽"":""1"",""小型"":""1"",""绿植"":""1"",""植物"":""1""}",NULL,女性,NULL,初中
100000,"{""个子不高"":""0.12912207364979134"",""休闲风"":""0.12911834864498142"",""手机壳"":""0.1289533786489068"",""商业采购"":""0.12912205825720946"",""爱护手机"":""0.12912145794651697""}","{""软壳"":""1"",""^!手机"":""3"",""透明"":""1"",""^!运动装"":""3"",""电池"":""2"",""气垫"":""1"",""手机壳"":""3"",""苹果"":""1"",""OPPO"":""2"",""^!防（安全）"":""1"",""运动鞋"":""3"",""板鞋"":""3"",""电源"":""2"",""鞋子"":""3"",""休闲"":""3"",""男鞋"":""3"",""冬季"":""3"",""IPHONE"":""1"",""无线"":""2"",""百搭"":""3"",""防摔"":""1"",""潮鞋"":""3"",""韩版"":""3"",""通用"":""1"",""充电宝"":""2"",""硅胶"":""1"",""^!男人"":""3"",""移动"":""2""}",NULL,男性,个体,初中
100000,"{""厨房能手"":""0.09528554268937886"",""爱美"":""0.10579163196820043"",""韩流"":""0.10579163196820043"",""文化人"":""0.10376071984014403"",""油性皮肤"":""0.1022362856445001"",""长头发"":""0.10579163196820043""}","{""发圈"":""14"",""发带"":""7"",""^!简约"":""5"",""卧室"":""1"",""弹簧"":""7"",""铝合金"":""1"",""亚光"":""1"",""顶夹"":""7"",""橡皮筋"":""5"",""日韩"":""7"",""进口"":""1"",""刘海夹"":""7"",""超细"":""1"",""厨房"":""1"",""饰品"":""12"",""超薄"":""1"",""珠光"":""1"",""抗菌"":""1"",""橱柜"":""1"",""^!舒爽"":""1"",""发绳"":""7"",""销售"":""1"",""精品"":""3"",""透气"":""1"",""简易"":""1"",""宽边"":""2"",""^!菌（卫生）"":""1"",""简约"":""5"",""发饰"":""7"",""眼影盘"":""1"",""发箍"":""12"",""眼影"":""1"",""^!女人"":""9"",""韩国"":""14"",""水钻"":""2"",""白色"":""1"",""遮瑕"":""1"",""控油"":""1"",""边夹"":""7"",""神器"":""1"",""干爽"":""1"",""彩色"":""1"",""发卡"":""2"",""洗脸"":""2"",""金丝"":""1"",""柔软"":""1"",""头饰"":""12"",""多色"":""1"",""珍珠"":""1"",""纤维"":""1"",""矿物"":""1"",""头发"":""5"",""亮肤"":""1"",""压发"":""2"",""头绳"":""5"",""修颜"":""1"",""白雪"":""1"",""气质"":""7"",""发夹"":""12"",""^!饰（个人）"":""14""}","[""花卉_绿植盆栽（新）"",""眼影"",""柜类"",""发饰"",""粉饼"",""其他美容工具""]",女性,NULL,初中
100000,"{""怀旧"":""0.27467204562619263"",""大学生"":""0.17285540568683522"",""爱读书"":""0.17798421355807031""}","{""训练"":""1"",""预测"":""1"",""英语"":""1"",""试卷"":""1"",""真题"":""1"",""阅读"":""1"",""大学"":""1""}","[""考试_教材_论文""]",女性,大学,高中
100000,"{""厨房能手"":""0.11634762779305446"",""零食控"":""0.12072455317085193"",""家居生活"":""0.13839995347815395"",""爱读书"":""0.13549027293470695"",""家有宝贝"":""0.12779866031256937""}","{""教学"":""1"",""儿童"":""1"",""家用"":""1"",""床头"":""1"",""触摸"":""1"",""卧室"":""1"",""宿舍"":""1"",""白板"":""1"",""夹子"":""1"",""磁性"":""1"",""学生"":""1"",""书桌"":""1"",""单面"":""1"",""充电式"":""1"",""办公"":""1"",""迷你"":""1"",""护眼"":""1"",""涂鸦"":""1""}","[""教学演示_展示告示用品"",""灯具灯饰""]",男性,NULL,高中
100000,"{""家居生活"":""0.28906175"",""注重健康"":""0.35850322""}","{""衣服"":""1"",""修身"":""1"",""打底衫"":""1"",""T恤"":""1"",""圆领"":""1"",""男装"":""1"",""^!t恤"":""1"",""加绒"":""1"",""纯棉"":""1"",""男士"":""1"",""长袖"":""1"",""秋季"":""1"",""^!舒适（棉麻）"":""1"",""狂欢节"":""1"",""全球"":""1"",""^!男人"":""1"",""加厚"":""1""}",NULL,男性,NULL,初中
60000,"{""品质生活"":""0.2519823092523856"",""简约风"":""0.20348679573499034"",""养鱼控"":""0.208083685566243""}","{""优雅"":""2"",""简约"":""2"",""鱼竿"":""1"",""之源"":""1"",""水晶"":""1"",""^!简约"":""2"",""老花"":""2"",""钓鱼"":""1"",""碳素"":""1"",""^!女人"":""1"",""钓竿"":""1"",""时尚"":""1"",""超轻"":""1"",""^!鱼（养殖）"":""1"",""眼镜"":""1"",""进口"":""1"",""树脂"":""1"",""^!男人"":""1"",""舒适"":""2""}","[""功能眼镜"",""垂钓装备""]",男性,个体,高中
100000,"{""游戏玩家"":""0.3670161343323745"",""装机控"":""0.12823799261576874"",""追求健康"":""0.2025288913445727""}","{""^!有汽车"":""1"",""汽车"":""1"",""创意"":""1"",""摆件"":""1"",""公仔"":""1"",""卡通"":""1"",""一对"":""1"",""可爱"":""1"",""情侣"":""1"",""^!饰（个人）"":""1"",""饰品"":""1""}",NULL,男性,NULL,初中
100000,"{""追剧"":""0.09073056570405154"",""游戏玩家"":""0.12918594054550053"",""懒人"":""0.09073056570405154"",""价格敏感"":""0.23606218800441894"",""低头族"":""0.09073056570405154""}","{""家居"":""1"",""儿童"":""1"",""拖鞋"":""1"",""冬季"":""1"",""月子"":""1"",""惠券"":""4"",""情侣"":""1"",""室内"":""1"",""防滑"":""1"",""^!防（安全）"":""1"",""优惠券"":""7"",""保暖"":""1"",""^!男人"":""1"",""^!取暖"":""1""}",NULL,女性,大学,高中
100000,"{""追星族"":""0.38496581815960734"",""家有宝贝"":""0.3137635191445032""}","{""靠垫"":""1"",""舰队"":""1"",""舰娘"":""1"",""抱枕"":""2"",""公仔"":""1"",""周边"":""2"",""神器"":""1"",""搞笑"":""1"",""COLLECTION"":""1"",""动漫"":""2""}",NULL,女性,NULL,高中
100000,"{""美食达人"":""0.08061979619091902"",""游戏玩家"":""0.08018032904476691"",""零食控"":""0.0797496570088232"",""家居生活"":""0.080632493830903"",""家务控"":""0.0806322631394877"",""初为人父母"":""0.07865128711985432"",""重口味"":""0.07753282785346947"",""音乐控"":""0.07877679766799259""}","{""工具"":""1"",""洗衣服"":""1"",""USB"":""1"",""家用"":""1"",""^!菌（卫生）"":""1"",""水果"":""1"",""除臭"":""1"",""红枣"":""1"",""胶皮"":""1"",""幻影"":""1"",""厨房"":""1"",""洗碗"":""1"",""鼠标"":""1"",""家务"":""1"",""大枣"":""1"",""鞋子"":""1"",""中联"":""1"",""发热"":""1"",""杀菌"":""1"",""山楂"":""1"",""有线"":""1"",""橡胶"":""1"",""乳胶"":""1"",""加长"":""1"",""鞋器"":""1"",""手套"":""1"",""耐用"":""1"",""不锈钢"":""1"",""游戏"":""1"",""加厚"":""1""}","[""干鞋器"",""有线鼠标"",""家务_地板清洁用具"",""厨用小工具_厨房储物""]",女性,NULL,大学
100000,"{""追求舒适"":""0.10472709996073212"",""休闲风"":""0.2163290625041807"",""注重健康"":""0.08800208726603484"",""有点胖"":""0.27173821259915165""}","{""青年"":""1"",""无痕"":""1"",""透气"":""1"",""内裤"":""1"",""性感"":""1"",""可爱"":""1"",""大码"":""1"",""冰丝"":""1"",""^!男人"":""1"",""男士"":""1""}","[""内裤""]",女性,白领,初中
100000,"{""爱美"":""0.1444040003412128"",""休闲风"":""0.1365457379865951"",""中医实践者"":""0.09069194871807351"",""显瘦"":""0.1444351832045439"",""追求性感"":""0.14207367965315384""}","{""薄款"":""1"",""小脚"":""1"",""宽松"":""1"",""阔腿"":""1"",""圆领"":""1"",""衬衣"":""1"",""两件"":""1"",""^!女人"":""2"",""外套"":""1"",""短裤"":""1"",""显瘦"":""2"",""铅笔"":""1"",""^!瘦身"":""2"",""休闲"":""2"",""上衣"":""1"",""T恤"":""1"",""短袖"":""1"",""裤子"":""1"",""^!t恤"":""1"",""百搭"":""1"",""学生"":""1"",""衬衫"":""1"",""韩版"":""2"",""条纹"":""1"",""外穿"":""1"",""^!阔腿"":""1"",""高腰"":""1"",""打底裤"":""1""}","[""衬衫"",""裤子""]",女性,NULL,高中
100000,"{""情趣"":""0.0630292823028981"",""旅行达人"":""0.06199634685362745"",""成人用品"":""0.0630292823028981"",""新潮"":""0.06298697154771629"",""爱美"":""0.06303113823550863"",""零食控"":""0.055939890230964906"",""家居生活"":""0.06302194122532526"",""爱种植"":""0.06291553692695383"",""精致生活"":""0.06296506478040452"",""长头发"":""0.06282913837990037""}","{""牙具"":""2"",""浴帽"":""3"",""复古"":""1"",""滋润"":""1"",""脱脂"":""1"",""旅行"":""2"",""成人"":""3"",""套环"":""2"",""补水"":""1"",""黑色"":""1"",""^!刷牙"":""2"",""全身"":""1"",""进口"":""1"",""木棒"":""1"",""棉球"":""1"",""园艺"":""2"",""保护套"":""2"",""^!防（自然）"":""3"",""女款"":""3"",""韩版"":""1"",""刷头"":""2"",""花纹"":""1"",""保湿"":""1"",""化妆"":""1"",""清洁"":""1"",""可爱"":""3"",""植物"":""2"",""盘发"":""1"",""香体"":""1"",""工具"":""2"",""防水"":""3"",""帽子"":""3"",""家用"":""2"",""无菌"":""1"",""^!菌（卫生）"":""1"",""掏耳朵"":""1"",""防紫外线"":""1"",""洗澡"":""3"",""卸妆"":""1"",""沐浴"":""3"",""卫生棉"":""1"",""固定"":""1"",""便携式"":""2"",""两用"":""1"",""双头"":""1"",""^!女人"":""1"",""韩国"":""3"",""防晒"":""1"",""棉花"":""1"",""边夹"":""1"",""卡通"":""3"",""^!防（漂亮）"":""1"",""发卡"":""1"",""棉签"":""1"",""牙刷"":""2"",""头饰"":""1"",""多肉"":""2"",""收纳盒"":""2"",""盆栽"":""2"",""户外"":""2"",""多功能"":""2"",""塑料"":""3"",""一字夹"":""1"",""美白"":""1"",""隐形"":""1"",""刘海"":""1"",""发夹"":""1"",""^!饰（个人）"":""1""}","[""身体护理（新）"",""园艺用品"",""发饰"",""个人洗护清洁用具"",""伞_雨具_防雨_防潮"",""卫浴用具_卫浴配件""]",女性,大学,大学
100000,"{""注重健康"":""0.543122""}","{""点心"":""1"",""切片"":""2"",""夹心"":""2"",""早餐"":""1"",""奶酪"":""2"",""面包"":""2"",""黑米"":""1""}",NULL,男性,NULL,初中
100000,"{""新潮"":""0.46401044402468306"",""时尚达人"":""0.46401044402468306""}","{""防水"":""2"",""透明"":""2"",""双眼皮"":""2"",""剪刀"":""2"",""双面"":""2"",""^!防（自然）"":""2"",""隐形"":""2"",""自然"":""2""}",NULL,女性,工厂,大学
100000,"{""DIY"":""0.521180942107985"",""注重健康"":""0.14947301778332056""}","{""胖MM"":""1"",""内衣"":""1"",""透气"":""1"",""蕾丝"":""1"",""大码"":""1"",""文胸"":""1"",""无钢圈"":""1"",""舒适"":""1""}",NULL,女性,白领,大学
100000,"{""旅行达人"":""0.23686472"",""追求气质"":""0.2391931""}","{""取暖器"":""1"",""太阳"":""1"",""办公室"":""1"",""家用"":""1"",""浴室"":""1"",""电暖器"":""1"",""暖风机"":""1"",""节能"":""1"",""学生"":""1"",""康佳"":""1"",""^!取暖"":""1""}",NULL,男性,NULL,大学
100000,"{""美食达人"":""0.05669071767320433"",""厨房能手"":""0.056690501415278635"",""旅行达人"":""0.05666342524717569"",""追求舒适"":""0.05669071091514415"",""爱美"":""0.05669071767320433"",""游戏玩家"":""0.05669071767320433"",""韩流"":""0.05669071767320433"",""零食控"":""0.05669071767320433"",""精致生活"":""0.05669069064096362"",""收藏"":""0.056515251398744124"",""长头发"":""0.05669071767320433""}","{""薄款"":""2"",""儿童"":""1"",""女包"":""3"",""无痕"":""7"",""发圈"":""6"",""大礼包"":""1"",""发带"":""3"",""足底"":""2"",""^!简约"":""3"",""旅行"":""3"",""糖果色"":""3"",""橡皮筋"":""6"",""短裤"":""1"",""全球"":""1"",""洗漱"":""3"",""饰品"":""6"",""休闲"":""1"",""运动"":""3"",""女友"":""1"",""女童"":""13"",""头花"":""12"",""布艺"":""6"",""纯棉"":""2"",""化妆包"":""3"",""韩版"":""18"",""^!防（女性）"":""1"",""透气"":""1"",""女士"":""1"",""一片"":""1"",""可爱"":""9"",""大码"":""1"",""^!男人"":""2"",""农家"":""1"",""宽边"":""3"",""防走光"":""1"",""家用"":""2"",""浓缩"":""1"",""内裤"":""2"",""简约"":""3"",""发饰"":""21"",""提臀"":""1"",""发箍"":""3"",""罐装"":""1"",""毛绒"":""3"",""夹子"":""6"",""固定"":""6"",""^!舒适（棉麻）"":""2"",""金牌"":""1"",""^!女人"":""1"",""韩国"":""3"",""东北"":""1"",""薯片"":""1"",""原料"":""1"",""食品"":""1"",""狂欢节"":""1"",""边夹"":""6"",""零食"":""1"",""^!果汁"":""1"",""彩色"":""6"",""酸菜"":""1"",""发卡"":""9"",""洗脸"":""3"",""头饰"":""21"",""宝宝"":""13"",""吃货"":""1"",""冰丝"":""1"",""收纳"":""3"",""小吃"":""1"",""三角"":""1"",""好吃"":""1"",""安全"":""1"",""膨化"":""1"",""甜美"":""3"",""头绳"":""6"",""高达"":""1"",""蝴蝶结"":""6"",""刘海"":""6"",""发夹"":""15"",""三分"":""1"",""^!饰（个人）"":""21""}","[""内裤"",""儿童内衣裤"",""烘焙原料_辅料_食品添加剂-新"",""腌制蔬菜_泡菜_酱菜_脱水蔬菜"",""踏步机_中小型健身器材"",""家庭收纳用具"",""饼干_膨化"",""发饰"",""调味品_果酱_沙拉""]",女性,白领,大学
100000,"{""商务"":""0.059744939547938275"",""甜党"":""0.06468723207149435"",""品质生活"":""0.06468849675253172"",""二次元"":""0.06468390842803642"",""文具办公采购"":""0.06468849675253172"",""家务控"":""0.06382726438903157"",""注重健康"":""0.05879177875366786"",""爱读书"":""0.06386255978603143"",""精致生活"":""0.06467908875944894"",""信神佛"":""0.06468849675253172""}","{""日记"":""1"",""牛皮"":""1"",""透明"":""1"",""德国"":""3"",""同款"":""1"",""啫喱"":""2"",""修正"":""1"",""1"":null,""双头"":""1"",""DIY"":""1"",""中性"":""7"",""迷你"":""1"",""限定"":""1"",""原装"":""5"",""无印良品"":""1"",""进口"":""3"",""MUJI"":""1"",""彩色"":""1"",""中性笔"":""4"",""钢笔"":""3"",""IC"":""1"",""水笔"":""2"",""荧光"":""1"",""签字笔"":""2"",""记事本"":""1"",""MM"":""6"",""系列"":""1"",""修饰"":""1"",""PLUS"":""2"",""记忆"":""1"",""规格"":""1"",""按动"":""1"",""装饰"":""1"",""商务"":""1"",""THE"":""1"",""升级"":""1"",""手帐"":""1"",""笔芯"":""6"",""日本"":""14"",""送礼"":""3"",""新品"":""1"",""文具"":""1"",""SAFARI"":""3"",""全新"":""4"",""^!饰（个人）"":""1"",""替芯"":""6""}",NULL,女性,白领,初中
100000,"{""家居生活"":""0.43557704804395936"",""精致生活"":""0.34019471138377405""}","{""防暑"":""3"",""个装"":""3"",""^!防（舒适）"":""3"",""清凉油"":""3"",""虎头"":""3"",""冰牌"":""3"",""防蚊"":""3""}",NULL,男性,个体,初中
100000,"{""美食达人"":""0.09988282563081077"",""悠闲生活"":""0.09092153878702394"",""厨房能手"":""0.04580580879929817"",""家居生活"":""0.09978833116366821"",""家务控"":""0.08498344953449115"",""重口味"":""0.09981107034654671"",""信神佛"":""0.09988293283492074""}","{""围裙"":""1"",""点心"":""1"",""客厅"":""1"",""欧式"":""1"",""电视"":""1"",""卧室"":""1"",""紫外线"":""1"",""成人"":""1"",""2"":null,""原味"":""1"",""田园"":""1"",""原料"":""1"",""时尚"":""1"",""全球"":""1"",""狂欢节"":""1"",""无纺布"":""2"",""壁纸"":""1"",""厨房"":""1"",""工程"":""1"",""荧光"":""1"",""专业"":""1"",""蛋糕"":""1"",""休闲"":""1"",""刺绣"":""1"",""测试"":""1"",""早餐"":""1"",""英国"":""1"",""动物"":""1"",""保温"":""1"",""长袖"":""1"",""韩版"":""1"",""办公"":""1"",""特产"":""1"",""奶油"":""1"",""保湿"":""1"",""背景"":""1"",""^!特产"":""1"",""手电筒"":""1"",""可爱"":""1"",""工作服"":""1"",""墙纸"":""1""}","[""园艺用品"",""户外照明"",""家务_地板清洁用具"",""烘焙原料_辅料_食品添加剂-新"",""墙纸"",""骑行服饰_骑行装备"",""糕点_点心""]",女性,白领,大学
100000,"{""情趣"":""0.11350079482900123"",""厨房能手"":""0.10571152698353209"",""成人用品"":""0.11350079482900123"",""新潮"":""0.11326463134652426"",""追求性感"":""0.08968659048545952"",""爱读书"":""0.1048487177120647""}","{""BB"":""1"",""舰店"":""1"",""家用"":""6"",""休闲裤"":""1"",""燕窝"":""1"",""安全套"":""1"",""直筒"":""1"",""全自动"":""1"",""LED"":""6"",""白光"":""6"",""成人"":""1"",""1"":null,""^!舒适（棉麻）"":""1"",""黑色"":""1"",""迷你"":""1"",""煲汤"":""1"",""BEAR"":""1"",""节能"":""6"",""男用"":""1"",""情趣"":""1"",""休闲"":""1"",""宝宝"":""1"",""修身"":""1"",""裤子"":""1"",""百搭"":""1"",""纯棉"":""1"",""男士"":""1"",""商务"":""1"",""韩版"":""1"",""避孕套"":""1"",""螺口"":""6"",""灯泡"":""6"",""^!男人"":""1"",""持久"":""1""}","[""电锅煲类"",""计生用品"",""光源"",""休闲裤""]",男性,个体,大学
100000,"{""情趣"":""0.16241361826125925"",""成人用品"":""0.16241361826125925"",""新潮"":""0.16241361826125925"",""零食控"":""0.1620818058092098""}","{""情趣"":""3"",""后庭"":""2"",""精环"":""2"",""安全套"":""1"",""润滑剂"":""2"",""超薄"":""1"",""包皮"":""2"",""阴茎"":""2"",""同志"":""2"",""成人"":""2"",""套环"":""2"",""避孕套"":""1"",""美版"":""2"",""矫正器"":""2"",""润滑油"":""2"",""男用"":""5"",""持久"":""1""}","[""情趣用品"",""计生避孕""]",男性,教育,大学
60000,"{""文具办公采购"":""0.24826627139461607"",""追求舒适"":""0.12790422251861966"",""精致生活"":""0.24562131305635618""}","{""2"":null,""代购"":""1"",""时尚"":""1"",""性感"":""1"",""英国"":""1"",""聚拢"":""1"",""纯色"":""1"",""直邮"":""1"",""三角"":""1""}","[""游泳""]",女性,白领,大学
100000,"{""追剧"":""0.07281609025451602"",""悠闲生活"":""0.087294190597324"",""懒人"":""0.08562281496095744"",""手机壳"":""0.08717512422001766"",""低头族"":""0.07470798003262007"",""痘痘宿主"":""0.08266395136982417"",""爱护手机"":""0.08744591917234516"",""iPhone"":""0.08062763587960967""}","{""^!手机"":""1"",""礼物"":""2"",""简约"":""1"",""潮牌"":""2"",""^!简约"":""1"",""字母"":""1"",""戒指"":""2"",""磨砂"":""1"",""手机壳"":""1"",""苹果"":""2"",""黑头"":""2"",""3"":null,""滤镜"":""1"",""黑色"":""1"",""安卓"":""1"",""自助"":""1"",""硬壳"":""1"",""男女"":""1"",""指环"":""2"",""IPHONE"":""1"",""创意"":""2"",""设计"":""2"",""通用"":""1"",""全套"":""1"",""IPAD"":""1"",""6PLUS"":""1""}","[""设计服务"",""T恤"",""手机配件"",""戒指_指环""]",男性,教育,高中
100000,"{""工业采购"":""0.18514612"",""游戏玩家"":""0.18922016"",""英雄联盟玩家"":""0.189162""}","{""儿童"":""1"",""模型"":""1"",""联盟"":""1"",""蜘蛛"":""1"",""手办"":""1"",""玩具"":""1"",""可动"":""1""}",NULL,男性,NULL,大学
100000,"{""有车族"":""0.08959872574089896"",""DIY"":""0.08959872574089896"",""旅行达人"":""0.14895205820430757"",""零食控"":""0.20506520604579745"",""酸党"":""0.20229127779416645""}","{""复古"":""1"",""修身"":""1"",""打底衫"":""1"",""简约"":""1"",""T恤"":""1"",""^!简约"":""1"",""双面"":""1"",""自制"":""1"",""^!t恤"":""1"",""百搭"":""1"",""披肩"":""1"",""纯色"":""1"",""男士"":""1"",""围巾"":""1"",""长袖"":""1"",""高领"":""1"",""^!男人"":""1""}",NULL,男性,个体,初中
100000,"{""品质生活"":""0.29228595"",""英伦"":""0.2467357""}","{""代购"":""2"",""美国"":""2"",""瑞士"":""2"",""进口"":""2"",""直邮"":""2"",""巧克力"":""2""}",NULL,女性,白领,大学
100000,"{""工业采购"":""0.10758997402783638"",""手机贴膜"":""0.18580422345211564"",""iPhone"":""0.18338724491083197"",""爱护手机"":""0.2172268728767954""}","{""玻璃"":""1"",""^!防（安全）"":""1"",""钢化膜"":""1"",""IPHONE"":""1"",""贴膜"":""1"",""手机"":""1"",""全屏"":""1"",""苹果6"":""1"",""防爆"":""1"",""6PLUS"":""1""}",NULL,男性,NULL,高中
100000,"{""有车族"":""0.22522354"",""新潮"":""0.14854984"",""简约风"":""0.23560376""}","{""奢华"":""1"",""^!手机"":""1"",""透明"":""1"",""全包"":""1"",""简约"":""1"",""IPHONE"":""1"",""^!简约"":""1"",""手机壳"":""1"",""硅胶"":""1"",""苹果"":""1""}",NULL,女性,个体,初中
100000,"{""爱美"":""0.1302001"",""零食控"":""0.19534524"",""服装DIY"":""0.2275464""}","{""无耳洞"":""1"",""耳夹"":""1"",""简约"":""1"",""专卖"":""1"",""^!简约"":""1"",""防爆"":""1"",""夷果"":""1"",""^!防（健康）"":""1"",""防过敏"":""1"",""坚果"":""1"",""原味"":""1"",""^!防（安全）"":""1"",""时尚"":""1"",""耳饰"":""1"",""进口"":""1"",""^!瘦身"":""1"",""首饰"":""1"",""饰品"":""1"",""夏威"":""1"",""男女"":""1"",""珍珠"":""1"",""耳钉"":""1"",""零食品"":""1"",""瑜伽"":""1"",""孕妇"":""1"",""蜂蜜"":""1"",""韩版"":""1"",""美国"":""1"",""^!饰（个人）"":""1"",""加厚"":""1""}",NULL,女性,NULL,高中
100000,"{""中医践行者"":""0.14980263"",""DIY"":""0.14939566"",""崇尚自然"":""0.15072943"",""追求健康"":""0.14980263""}","{""特级"":""1"",""中药材"":""1"",""四川"":""1"",""^!天然"":""1"",""无硫"":""1"",""^!中药"":""1"",""野生"":""1"",""天然"":""1""}",NULL,女性,NULL,大学
